,,,,,,,,,,,,,,,,,,,,,,,
2026학년도 1학기 시간표(강의실별),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,정보공학관 912 강의실,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,구분,,월,,,화,,,수,,,,목,,,금,,,,토,,,
,"1교시
(09:00 - 09:50)",,(학),교과교육론(정보.컴퓨터),,(학),정보보호론,,,,,,(학),운영체제,,(학),컴퓨터개론,,,,,,
,,,최병윤,,,권오준,,,,,,,김성우,,,권오준,,,,,,,
,"2교시
(10:00 - 10:50)",,(학),교과교육론(정보.컴퓨터),,(학),정보보호론,,,,,,(학),운영체제,,,,,,,,,
,,,최병윤,,,권오준,,,,,,,김성우,,,,,,,,,,
,"3교시
(11:00 - 11:50)",,,,,(학),데이터베이스이론및실습,,(학),교과교육론(정보.컴퓨터),,,(학),데이터구조,,,,,,,,,
,,,,,,이중화,,,최병윤,,,,이중화,,,,,,,,,,
,"4교시
(12:00 - 12:50)",,,,,(학),데이터베이스이론및실습,,,,,,(학),컴퓨터네트워크,,,,,,,,,
,,,,,,이중화,,,,,,,빈기철,,,,,,,,,,
,"5교시
(13:00 - 13:50)",,(학),데이터구조,,,,,,,,,,,,,,,,,,,
,,,이중화,,,,,,,,,,,,,,,,,,,,
,"6교시
(14:00 - 14:50)",,(학),데이터구조,,(학),운영체제,,(대),논문지도(박)Ⅰ,,,,,,,,,,,,,
,,,이중화,,,김성우,,,권순각,,,,,,,,,,,,,,
,"7교시
(15:00 - 15:50)",,,,,(학),확률및통계,,(대),논문지도(박)Ⅰ,,,(학),컴퓨터개론,,,,,,,,,
,,,,,,이유태,,,권순각,,,,권오준,,,,,,,,,,
,"8교시
(16:00 - 16:50)",,,,,,,,,,,,(학),컴퓨터개론,,,,,,,,,
,,,,,,,,,,,,,권오준,,,,,,,,,,
,"9교시
(17:00 - 17:50)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,"1교시
(18:00 - 18:45)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,"2교시
(18:50 - 19:35)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,"3교시
(19:40 - 20:25)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,"4교시
(20:30 - 21:15)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,"5교시
(21:20 - 22:05)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,"▣ 범례 : (학) 학부, (대) 대학원, (행) 행정, (경) 경영, (산) 산업기술, (교) 교육, (중) 중소기업, (영) 영상대학원, ※ 팀티칭강좌 ",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
